Lens ID,Title,Date Published,Publication Year,Publication Type,Author/s,Abstract,Fields of Study,Keywords,Citing Works Count
001-178-485-350-038,"Exploring the impact of technological innovation, environmental regulations and urbanization on ecological efficiency of China in the context of COP21.",2020-08-13,2020,journal article,Humaira Yasmeen; Qingmei Tan; Hashim Zameer; Junlan Tan; Kishwar Nawaz,"Abstract The objective of this study was to explore the roles of technological innovation, environmental regulations, and urbanization in ecological efficiency within the context of the 2015 Paris agreement. Initially, the study employed the super-efficiency DEA model to estimate the ecological efficiencies of 30 regions in China. Following this, the system GMM method was used to explore the impacts of technological innovation, environmental regulations, and urbanization on ecological efficiency. We used annual data from 2008 to 2018. The results indicate that, in terms of ecological efficiency, the eastern region was the highest ranked, followed by central and western regions, respectively. The urbanization index has a negative impact on ecological efficiency at a national level. However, in the context of regions, it is positively significant in the eastern region, while the results in the central and western regions are insignificant. The influence of technological innovation on ecological efficiency is found to be significantly positive at both national and regional levels. It is generally perceived that environmental regulations are pivotal for sustainability. Our results verify this argument and indicate that environmental regulations have a positive impact on ecological efficiency in the central and eastern regions. However, their impact is found to be negative in the western region. Policy suggestions are discussed, in order to further strengthen environmental laws and sustainability.",Natural resource economics; Order (exchange); China; Geography; Context (language use); Index (economics); National level; Urbanization; Sustainability; Ecological efficiency,Ecological efficiency; Environmental regulation; Paris agreement; Technological innovation; Urbanization,61
001-254-406-409-997,The p38 MAPK Signaling Activation in Colorectal Cancer upon Therapeutic Treatments.,2020-04-16,2020,journal article,Angelina Pranteda; Valentina Piastra; Lorenzo Stramucci; Deborah Fratantonio; Gianluca Bossi,"Pharmacological treatment of colorectal carcinoma currently proceeds through the administration of a combination of different chemotherapeutic agents. In the case of rectal carcinoma, radiation therapy also represents a therapeutic strategy. In an attempt at translating much-needed new targeted therapy to the clinics, p38 mitogen activated protein kinase (MAPK) inhibitors have been tested in clinical trials involving colorectal carcinoma patients, especially in combination with chemotherapy; however, despite the high expectations raised by a clear involvement of the p38 MAPK pathway in the response to therapeutic treatments, poor results have been obtained so far. In this work, we review recent insights into the exact role of the p38 MAPK pathway in response to currently available therapies for colorectal carcinoma, depicting an intricate scenario in which the p38 MAPK node presents many opportunities, as well as many challenges, for its perspective exploitation for clinical purposes.",Chemotherapy; Irinotecan; Oxaliplatin; Targeted therapy; Cancer research; Radiation therapy; Colorectal cancer; Clinical trial; MAPK/ERK pathway; Medicine,5-fluorouracil; colorectal cancer; irinotecan; oxaliplatin; p38 MAPK; radiotherapy; target therapy; therapeutic treatments,20
001-281-793-743-592,Calculation and Measurement of China’s Human Capital after Comparing Human Capital with Technological Innovation,2021-12-01,2021,journal article,Kangping Wu; Mengtao Wu,"<jats:p>Human capital, as a synthesis of wisdom and physical fitness condensed in workers, is sometimes confused with technological innovation by existing literature. This paper makes comparisons between these two terminologies. Technological innovation is a short-term activity that attaches importance to economic benefits while human capital accumulation is a long-term strategic process with lifelong benefits, and human capital is the foundation of technological innovation. In empirical part, this paper adopts Solow Residual Method to calculate stock, elasticity and growth rate of human capital of 10 countries after eliminating physical capital, labor force and technological innovation. It is found that human capital stock in the United States is the largest and human capital growth in China is the fastest. Calculation is followed by measurement. We construct a comprehensive index of human capital by using Index Weight Assignment Method and Two-level &amp; Three-factor CES Function to measure and predict human capital level in China. Both calculating and measuring results show that growth rate of China’s human capital is around 5%. In the future, for highquality economic development, China should give priority to human capital development and comprehensively improve human capital competitiveness.</jats:p>",Economics; Classical economics; China; Human capital,,2
001-628-586-847-196,"Open Innovation with Relational Capital, Technological Innovation Capital, and International Performance in SMEs",2021-03-19,2021,journal article,Dongwoo Ryu; Kwang Ho Baek; Junghyun Yoon,"The importance of international markets is constantly emphasized for small and medium enterprises(SMEs). In previous studies, technological innovation capabilities were emphasized as a factor that enables SMEs to compete in the international market. To this end, SMEs need to cooperate with external partners to strengthen their technological innovation capabilities to thus improve their international performance. With the perspective view of open innovation, this research explores the effects of relational capital and technological innovation capability on international performance, with a particular focus on the moderating effect of alliance proactiveness. Building on previous literature regarding internationalization, technological innovation, and alliance proactiveness, research hypotheses were developed and tested using data collected from 175 SMEs. A hierarchical regression analysis was applied. The analysis showed that, first, relational capital had a significant effect on the technological innovation capability. Second, technological innovation capability has a significant influence on the international performance. Third, technological innovation capability mediated the relationship between relational capital and international performance. Finally, alliance proactiveness was found to moderate the relationship between technological innovation capability and international performance. The key research findings imply that relational capital and alliance proactiveness are the key factors of international performance, as they improved the development of the technological innovation capability.",Proactivity; Business; Open innovation; Alliance; Relational capital; Industrial organization; Small and medium-sized enterprises; Multilevel model; Capital (economics); Internationalization,,16
001-662-852-953-151,The Study of Evaluation Index of Growth Evaluation of Science and Technological Innovation Micro-Enterprises,2020-08-03,2020,journal article,Yao-Chin Lin; Chun-Liang Chen; Cheng-Fu Chao; Wei-Hung Chen; Henry Pandia,"Micro-enterprises are critical to the national economy in many countries, although they have many limitations. Therefore, governments have proposed many policies and programs to generate and enhance micro-enterprises’ growth to assure national economies’ growth and sustainability. This study evolves an index to evaluate growth in science and technological innovation among micro-enterprises that participated in collaborative innovation through a counselling program. The results not only define growth indicators through a literature review but also examine evidence of growth among 10 micro-enterprises through interviewing subjects located in various regions in Taiwan and related to different industries. This study uses multiple case study methods and data statistics to verify growth indicators; this reveals that micro-enterprises focusing on collaborative technological innovation demonstrated an increasing trend toward this study’s chosen growth indicators in a majority of cases. According to the survey results, nine indicators lead to positive growth. Finally, after establishing growth assessment indicators, the data collected from an empirical investigation proves the indicators’ credibility. The study then discusses the chosen cases’ experiences with growth and presents managerial implications.",Business; Regional science; Interview; Micro-enterprise; Credibility; Index (economics); Survey result; Multiple case; Study methods; Sustainability,,6
002-272-653-508-998,Does Technological Innovation Divide Economic Growth From Sustainable Development?,2021-12-31,2021,journal article,Carlos Scheel Mayenberger; David Perez-Castillo,"<p>The purpose of this paper is to explore if technological innovation strategies produce economic incremental returns on the competitiveness indexes, and at the same time, produce an unfavorable impact on the social, environmental, and human systems of a region. Also, under what conditions or drivers this happens. Metrics of performance of innovation strategies were used on cities that have had remarkable innovative indicators. The correlation between innovation performance, environmental recovering, productivity, and social quality of life was analyzed. It was found that regulations, rule of law, incentives, inclusive use of technology, systemic vision, flatten organizations, hierarchical structures, and decentralized management responsibilities help in leveraging the impact of technological innovation to drive economic growth; however, the impact on the environment regeneration and on the social gap is highly questionable.</p>",Incentive; Productivity; Industrial organization; Quality (philosophy); Business; Sustainable development; Innovation economics; Economics; Technological change; Environmental economics; Economic system,,0
002-303-533-493-671,Analysis of the Comprehensive Evaluation Model of Enterprise Technological Innovation Ability Based on Improved Genetic Algorithm,2022-01-20,2022,journal article,Kuizhen Rong,"<jats:p>In an environment where technology is developing rapidly, product life cycles are constantly shortening, competition is increasing, and innovation resources are easily acquired by other competitors, it is particularly important for companies to successfully implement technological innovation. It is of great significance for companies to find the weak links of their technological innovation and prioritize improvement and enhancement of their technological innovation capabilities. As the main body of the agricultural machinery industry, private agricultural machinery enterprises are playing an increasingly important role. A correct understanding of the technological innovation activities of private agricultural machinery enterprises and the establishment of a reasonable evaluation index system for technological innovation capabilities are of great significance to the technological innovation management of private agricultural machinery enterprises. In accordance with the theory of technological innovation and the characteristics of private agricultural machinery enterprises, a technical innovation evaluation index system for private agricultural machinery enterprises has been established. The indicator system starts from the concept of private agricultural machinery enterprises, analyzes the status quo and development trend of the agricultural machinery industry, and takes private agricultural machinery enterprises in Heilongjiang Province as the research object. It summarizes the status quo and characteristics of technological innovation of private agricultural machinery enterprises and then establishes the private agricultural machinery enterprises. The system starts from the aspects of innovation resource input, innovation output, technology density, innovation effect, market realization, and innovation tendency, and selects 16 specific evaluation indicators. According to the established capability, projection pursuit is adopted. The method combined with the genetic algorithm and the genetic algorithm in MATLAB and the direct search toolbox were employed to comprehensively charge the capabilities of the five sample enterprises, and the evaluation results were objective and credible.</jats:p>",Status quo; Agricultural machinery; Industrial organization; Agriculture; Business; Technological change; Competitor analysis; Competition (biology); Innovation management; Product (mathematics),,1
002-479-053-578-958,Author Correction: Engineered commensal microbes for diet-mediated colorectal-cancer chemoprevention.,2020-06-16,2020,journal article,Chun Loong Ho; Hui Qing Tan; Koon Jiew Chua; Aram Kang; Kiat Hon Lim; Khoon Lin Ling; Wen Shan Yew; Yung Seng Lee; Jean Paul Thiery; Matthew Wook Chang,An amendment to this paper has been published and can be accessed via a link at the top of the paper.,MEDLINE; Colorectal cancer; Bioinformatics; Medicine,,2
002-621-517-920-358,Effect of China's Land Resource Allocation Method on Enterprise Technological Innovation: Promoting or Inhibiting,2022-06-28,2022,journal article,Jintao Ma; Qiuguang Hu; Xinyi Wei,"<jats:p>Whether the land resource allocation method with Chinese characteristics can continue to play a positive role must be explored in the context of high-quality development. This study is based on the panel data of A-share listed non-financial insurance enterprises from 2006 to 2018. The proportion of industrial land area in urban construction land area to characterize land resource allocation methods and analyzes the effect of China’s land resource allocation methods on enterprise technological innovation. Results show that 1) the land resource allocation methods of the large-scale transfer of industrial land and the restricted transfer of commercial and residential land inhibit enterprises from technological innovation. 2) The inhibition is heterogeneous given the nature of the enterprise and the degrees of technology intensity and regional differences. The effect is greater on state-owned enterprises and those in high-tech industries and eastern cities. 3) The increase in corporate R&amp;amp;D expenditure and government subsidies weakens the negative effect of China’s land resource allocation method to a certain extent. This study maintains that the reform of land resource allocation methods should be promoted following local conditions, the role of the market should be fully utilized, and the subjective initiative of local governments should also be mobilized to promote the overall transformation of the economy and society to innovation-driven development effectively.</jats:p>",Business; China; Resource (disambiguation); Subsidy; Context (archaeology); Resource allocation; Natural resource economics; Industrial organization; Economic system,,0
002-702-460-397-643,Digital Transformation in Sport and Social Media,2020-10-30,2020,book chapter,Vanessa Ratten,There has been a digital transformation of the sport industry that has resulted in an increase in the number of startups. Technological innovations derived from big data and social media have altered the way entrepreneurship is embedded in a sport context. This has influenced more technologically enabled sport startups that are driving change in the global economy. This chapter discusses the role of digitalization in changing existing business models and fostering a more entrepreneurial ecosystem. This includes focusing on technological innovations such as the impact of cloud computing and other data changes.,Digital transformation; Business; Context (language use); Entrepreneurial ecosystem; Business model; Social media; Knowledge management; Big data; Cloud computing; Entrepreneurship,,0
002-875-462-981-937,Toluene Adsorption by Mesoporous Silicas with Different Textural Properties: A Model Study for VOCs Retention and Water Remediation,2020-06-12,2020,journal article,Chiara Vittoni; Giorgio Gatti; Ilaria Braschi; Enrico Buscaroli; Giovanni Golemme; Leonardo Marchese; Chiara Bisio,"In this work, different mesoporous silicas were studied as potential sorbents for toluene, selected as a model molecule of aromatic organic fuel-based pollutants. Three siliceous materials with different textural and surface properties (i.e., fumed silica and mesoporous Santa Barbara Amorphous (SBA)-15 and Mobil Composition of matter (MCM)-41 materials) were considered and the effect of their physico-chemical properties on the toluene adsorption process was studied. In particular, FT-IR spectroscopy was used to qualitatively study the interactions between the toluene molecule and the surface of silicas, while volumetric adsorption analysis allowed the quantitative determination of the toluene adsorption capacity. The combined use of these techniques revealed that textural properties of the sorbents, primarily porosity, are the driving forces that control the adsorption process. Considering that, under real conditions of usage, the sorbents are soaked in water, their hydrothermal stability was also investigated and toluene adsorption by both the gas and aqueous phase on hydrothermally pre-treated samples was studied. The presence of ordered porosity, together with the different pore size distribution and the amount of silanol groups, strongly affected the adsorption process. In toluene adsorption from water, SBA-15 performed better than MCM-41.",Fumed silica; Adsorption; Chemistry; Mesoporous silica; Silanol; Toluene; Chemical engineering; Porosity; Mobil Composition of Matter; Mesoporous material,FT-IR spectroscopy; adsorption; fuel-based pollutants; mesoporous silica; toluene,4
002-902-189-707-013,Research on the Impact of Environmental Regulation on Technological Innovation of Paper Industry Based on Gray Analysis Method,,2020,journal article,Donghong Shan; Chunxia Shan,"In recent years, the continuous development of economy has also promoted the vigorous development of China's paper industry, but the disadvantages of paper industry such as large water consumption and serious pollution are more prominent. Therefore, the government has formulated a series of environmental regulation policies to restrict the heavy pollution in the production process of paper industry. Research on the impact of environmental regulation on the technological innovation of the paper industry in the new era is conducive to improve the quality policy of environmental supervision of China's paper industry, which has good theoretical value and practical significance. The data in this paper are from a series of indicators of the paper industry from 2009 to 2018. Among them, the indicators to measure the level of technological innovation and the indicators to calculate the intensity of environmental regulation are selected. The relationship between the two is empirically analyzed by grey correlation method and regression analysis. The empirical results show that environmental regulation has a positive impact on technological innovation of China's paper industry.",Gray (horse); Business; Regression analysis; Quality policy; China; restrict; Water consumption; Environmental regulation; Analysis method; Pulp and paper industry,,1
003-160-491-716-419,Research on Evaluation and Influencing Factors of Provincial Technological Innovation Capability in China,2020-06-23,2020,book chapter,Lihong Wang; Hongchang Mei,"Regional technological innovation capability is the core element of promoting developmen. Under the circumstances of the transformation of international trade relations and the continuous expansion of China’s opening to the outside world, this paper constructs an evaluation index system of China’s provincial technological innovation capability from four aspects of innovation input, environment, technological achievement output and value transformation, and analyzes the distribution of technological innovation capability and its influencing factors by using principal component analysis (PCA) and cluster analysis. The results show that, at present, China’s technological innovation capability is quite different between regions and within regions, and technological innovation input and value transformation contribute greatly to the development of the regional technological innovation capability. The innovation environment and technological achievement output need to be improved and strengthened. In the end, the paper puts forward some suggestions on improving the overall level of China’s technological innovation capability.",Business; China; Value (ethics); Index system; Distribution (economics); Industrial organization,,0
